"date","value","deseasonalized_value"
1990-01-01,8.4,6.22816578483245
1990-02-01,8,6.10364197530864
1990-03-01,8,6.1205467372134
1990-04-01,7.3,6.71114197530864
1990-05-01,5.4,6.24768959435626
1990-06-01,5.5,5.89388007054674
1990-07-01,5.2,5.98077160493827
1990-08-01,5,6.04408179012346
1990-09-01,5.2,6.48783179012346
1990-10-01,4.8,6.42197530864198
1990-11-01,5.6,6.66734567901235
1990-12-01,8.4,7.89292768959436
1991-01-01,10.8,8.62816578483245
1991-02-01,10.3,8.40364197530864
1991-03-01,10.3,8.4205467372134
1991-04-01,9.7,9.11114197530864
1991-05-01,8,8.84768959435626
1991-06-01,8.8,9.19388007054674
1991-07-01,7.7,8.48077160493827
1991-08-01,7.8,8.84408179012346
1991-09-01,7.9,9.18783179012346
1991-10-01,7.1,8.72197530864197
1991-11-01,7.9,8.96734567901235
1991-12-01,8.9,8.39292768959436
1992-01-01,11.6,9.42816578483245
1992-02-01,11.3,9.40364197530864
1992-03-01,11.1,9.2205467372134
1992-04-01,9.1,8.51114197530864
1992-05-01,6.9,7.74768959435626
1992-06-01,8.3,8.69388007054674
1992-07-01,7.3,8.08077160493827
1992-08-01,7.3,8.34408179012346
1992-09-01,7.5,8.78783179012346
1992-10-01,6.5,8.12197530864198
1992-11-01,7.3,8.36734567901235
1992-12-01,8.8,8.29292768959436
1993-01-01,12,9.82816578483245
1993-02-01,11,9.10364197530864
1993-03-01,11,9.1205467372134
1993-04-01,9.5,8.91114197530864
1993-05-01,7.1,7.94768959435626
1993-06-01,8.4,8.79388007054674
1993-07-01,6.7,7.48077160493827
1993-08-01,5.9,6.94408179012346
1993-09-01,6.1,7.38783179012346
1993-10-01,5.6,7.22197530864197
1993-11-01,5.8,6.86734567901235
1993-12-01,7.7,7.19292768959436
1994-01-01,10.5,8.32816578483245
1994-02-01,10.1,8.20364197530864
1994-03-01,9.8,7.9205467372134
1994-04-01,7.4,6.81114197530864
1994-05-01,4.7,5.54768959435626
1994-06-01,5.4,5.79388007054674
1994-07-01,5,5.78077160493827
1994-08-01,4.7,5.74408179012346
1994-09-01,4.7,5.98783179012346
1994-10-01,4,5.62197530864198
1994-11-01,4.1,5.16734567901235
