"date","value","deseasonalized_value"
1990-01-01,4.4,3.57790426587302
1990-02-01,4.4,3.75004712301587
1990-03-01,3.7,3.11028521825397
1990-04-01,2.8,2.69070188492063
1990-05-01,2.4,2.70492807539683
1990-06-01,2.1,2.11552331349206
1990-07-01,2,2.31657490079365
1990-08-01,2.5,2.88706101190476
1990-09-01,2.7,3.08897569444444
1990-10-01,2.6,3.0963566468254
1990-11-01,3.2,3.61052331349206
1990-12-01,3.2,3.0511185515873
1991-01-01,2.7,1.87790426587302
1991-02-01,2.7,2.05004712301587
1991-03-01,3.2,2.61028521825397
1991-04-01,2.7,2.59070188492064
1991-05-01,2.7,3.00492807539683
1991-06-01,2.1,2.11552331349206
1991-07-01,1.9,2.21657490079365
1991-08-01,1.9,2.28706101190476
1991-09-01,1.8,2.18897569444444
1991-10-01,2.3,2.7963566468254
1991-11-01,2.3,2.71052331349206
1991-12-01,2.9,2.7511185515873
1992-01-01,3.1,2.27790426587302
1992-02-01,3.2,2.55004712301587
1992-03-01,2.7,2.11028521825397
1992-04-01,2.3,2.19070188492063
1992-05-01,1.5,1.80492807539683
1992-06-01,2.8,2.81552331349206
1992-07-01,2.6,2.91657490079365
1992-08-01,2.2,2.58706101190476
1992-09-01,2.4,2.78897569444444
1992-10-01,2.5,2.9963566468254
1992-11-01,2.4,2.81052331349206
1992-12-01,2.2,2.0511185515873
1993-01-01,2.9,2.07790426587302
1993-02-01,3.1,2.45004712301587
1993-03-01,2.6,2.01028521825397
1993-04-01,2,1.89070188492063
1993-05-01,1.3,1.60492807539683
1993-06-01,1.4,1.41552331349206
1993-07-01,1.3,1.61657490079365
1993-08-01,1.4,1.78706101190476
1993-09-01,1,1.38897569444444
1993-10-01,1.2,1.6963566468254
1993-11-01,1,1.41052331349206
1993-12-01,1.4,1.2511185515873
1994-01-01,1.5,0.677904265873016
1994-02-01,1.6,0.950047123015873
1994-03-01,1.9,1.31028521825397
1994-04-01,1.7,1.59070188492063
1994-05-01,1.4,1.70492807539683
1994-06-01,2,2.01552331349206
1994-07-01,1.9,2.21657490079365
1994-08-01,1.9,2.28706101190476
1994-09-01,1.6,1.98897569444444
1994-10-01,1.5,1.9963566468254
1994-11-01,2,2.41052331349206
1994-12-01,2.6,2.4511185515873
1995-01-01,3.4,2.57790426587302
1995-02-01,3.1,2.45004712301587
1995-03-01,2.9,2.31028521825397
1995-04-01,2.8,2.69070188492063
1995-05-01,2.8,3.10492807539683
1995-06-01,2.9,2.91552331349206
