"date","value","deseasonalized_value"
1990-01-01,2.1,1.75729332010582
1990-02-01,1.9,1.54253141534392
1990-03-01,1.6,1.08241236772487
1990-04-01,1.4,1.31687665343915
1990-05-01,1,1.07836474867725
1990-06-01,1,0.798483796296296
1990-07-01,0.8,1.08001818783069
1990-08-01,0.9,1.19923115079365
1990-09-01,0.6,0.982564484126984
1990-10-01,0.9,1.43001818783069
1990-11-01,2.4,2.52050760582011
1990-12-01,2.1,1.91169808201058
1991-01-01,3.5,3.15729332010582
1991-02-01,2.6,2.24253141534392
1991-03-01,2.6,2.08241236772487
1991-04-01,2.5,2.41687665343915
1991-05-01,2.5,2.57836474867725
1991-06-01,2.1,1.8984837962963
1991-07-01,2.6,2.88001818783069
1991-08-01,2.6,2.89923115079365
1991-09-01,1.9,2.28256448412698
1991-10-01,1.5,2.03001818783069
1991-11-01,2.4,2.52050760582011
1991-12-01,2.5,2.31169808201058
1992-01-01,3.1,2.75729332010582
1992-02-01,2.9,2.54253141534392
1992-03-01,2.9,2.38241236772487
1992-04-01,2.3,2.21687665343915
1992-05-01,1.9,1.97836474867725
1992-06-01,2.1,1.8984837962963
1992-07-01,1.7,1.98001818783069
1992-08-01,1.9,2.19923115079365
1992-09-01,1.9,2.28256448412698
1992-10-01,1.5,2.03001818783069
1992-11-01,1.8,1.92050760582011
1992-12-01,2.6,2.41169808201058
1993-01-01,2.2,1.85729332010582
1993-02-01,2.7,2.34253141534392
1993-03-01,3.1,2.58241236772487
1993-04-01,2.4,2.31687665343915
1993-05-01,2.1,2.17836474867725
1993-06-01,2.2,1.9984837962963
1993-07-01,1.7,1.98001818783069
1993-08-01,1.3,1.59923115079365
1993-09-01,1.6,1.98256448412698
1993-10-01,2.1,2.63001818783069
1993-11-01,2.8,2.92050760582011
1993-12-01,2.7,2.51169808201058
1994-01-01,2,1.65729332010582
1994-02-01,2.1,1.74253141534392
1994-03-01,2.4,1.88241236772487
1994-04-01,1.8,1.71687665343915
1994-05-01,1.6,1.67836474867725
1994-06-01,2.1,1.8984837962963
1994-07-01,2,2.28001818783069
1994-08-01,1.7,1.99923115079365
1994-09-01,1.8,2.18256448412698
1994-10-01,1.7,2.23001818783069
1994-11-01,2.1,2.22050760582011
1994-12-01,2.2,2.01169808201058
1995-01-01,2.2,1.85729332010582
1995-02-01,1.9,1.54253141534392
1995-03-01,2.1,1.58241236772487
1995-04-01,2.3,2.21687665343915
1995-05-01,1.6,1.67836474867725
1995-06-01,1.4,1.1984837962963
1995-07-01,1,1.28001818783069
1995-08-01,1.2,1.49923115079365
1995-09-01,1.5,1.88256448412698
1995-10-01,1.7,2.23001818783069
1995-11-01,1.6,1.72050760582011
1995-12-01,1.9,1.71169808201058
1996-01-01,1.7,1.35729332010582
1996-02-01,1.8,1.44253141534392
1996-03-01,2.4,1.88241236772487
1996-04-01,1.7,1.61687665343915
1996-05-01,1.8,1.87836474867725
1996-06-01,1.8,1.5984837962963
1996-07-01,1.5,1.78001818783069
1996-08-01,1.6,1.89923115079365
1996-09-01,1.6,1.98256448412698
1996-10-01,1.6,2.13001818783069
1996-11-01,1.5,1.62050760582011
1996-12-01,1.8,1.61169808201058
1997-01-01,1.9,1.55729332010582
1997-02-01,1.8,1.44253141534392
1997-03-01,2.2,1.68241236772487
1997-04-01,2.5,2.41687665343915
1997-05-01,3.7,3.77836474867725
1997-06-01,2.8,2.5984837962963
1997-07-01,2.6,2.88001818783069
1997-08-01,2,2.29923115079365
1997-09-01,1.9,2.28256448412698
1997-10-01,1.7,2.23001818783069
1997-11-01,2.2,2.32050760582011
1997-12-01,2,1.81169808201058
1998-01-01,3,2.65729332010582
1998-02-01,2.8,2.44253141534392
1998-03-01,3,2.48241236772487
1998-04-01,2.1,2.01687665343915
1998-05-01,1.9,1.97836474867725
1998-06-01,2.2,1.9984837962963
1998-07-01,1.7,1.98001818783069
1998-08-01,1.7,1.99923115079365
1998-09-01,1.7,2.08256448412698
1998-10-01,1.9,2.43001818783069
1998-11-01,3.6,3.72050760582011
1998-12-01,3.6,3.41169808201058
1999-01-01,2.8,2.45729332010582
1999-02-01,3.9,3.54253141534392
1999-03-01,4.2,3.68241236772487
1999-04-01,3.1,3.01687665343915
1999-05-01,3.4,3.47836474867725
1999-06-01,3.2,2.9984837962963
1999-07-01,1.9,2.18001818783069
1999-08-01,1.6,1.89923115079365
1999-09-01,1.9,2.28256448412698
1999-10-01,1.5,2.03001818783069
1999-11-01,1.8,1.92050760582011
1999-12-01,1.9,1.71169808201058
2000-01-01,3.3,2.95729332010582
2000-02-01,3.2,2.84253141534392
2000-03-01,2.9,2.38241236772487
2000-04-01,2.8,2.71687665343915
2000-05-01,2.5,2.57836474867725
2000-06-01,3.2,2.9984837962963
2000-07-01,2.5,2.78001818783069
2000-08-01,2.6,2.89923115079365
2000-09-01,2.6,2.98256448412698
2000-10-01,2,2.53001818783069
2000-11-01,2.2,2.32050760582011
2000-12-01,1.9,1.71169808201058
2001-01-01,3,2.65729332010582
2001-02-01,3.3,2.94253141534392
2001-03-01,3.3,2.78241236772487
2001-04-01,2.5,2.41687665343915
2001-05-01,2.3,2.37836474867725
2001-06-01,2.9,2.6984837962963
2001-07-01,1.9,2.18001818783069
2001-08-01,2.2,2.49923115079365
2001-09-01,1.7,2.08256448412698
2001-10-01,2,2.53001818783069
2001-11-01,3,3.12050760582011
2001-12-01,3.3,3.11169808201058
2002-01-01,3.8,3.45729332010582
2002-02-01,3.3,2.94253141534392
2002-03-01,4.4,3.88241236772487
2002-04-01,3.4,3.31687665343915
2002-05-01,2.9,2.97836474867725
2002-06-01,3.9,3.6984837962963
2002-07-01,3,3.28001818783069
2002-08-01,2.7,2.99923115079365
2002-09-01,2.7,3.08256448412698
2002-10-01,2.4,2.93001818783069
2002-11-01,2.9,3.02050760582011
2002-12-01,2.9,2.71169808201058
2003-01-01,3.1,2.75729332010582
2003-02-01,2.9,2.54253141534392
2003-03-01,3.5,2.98241236772487
2003-04-01,2.6,2.51687665343915
2003-05-01,2.4,2.47836474867725
2003-06-01,3.2,2.9984837962963
2003-07-01,2.5,2.78001818783069
2003-08-01,3.1,3.39923115079365
2003-09-01,2.7,3.08256448412698
2003-10-01,2.3,2.83001818783069
2003-11-01,2.8,2.92050760582011
2003-12-01,3,2.81169808201058
2004-01-01,2.9,2.55729332010582
2004-02-01,2.8,2.44253141534392
2004-03-01,3.3,2.78241236772487
2004-04-01,2.7,2.61687665343915
2004-05-01,2.3,2.37836474867725
2004-06-01,2.9,2.6984837962963
2004-07-01,1.9,2.18001818783069
2004-08-01,2.4,2.69923115079365
2004-09-01,2.1,2.48256448412698
2004-10-01,1.8,2.33001818783069
2004-11-01,2.2,2.32050760582011
2004-12-01,3,2.81169808201058
2005-01-01,2.8,2.45729332010582
2005-02-01,3,2.64253141534392
2005-03-01,3,2.48241236772487
2005-04-01,2.7,2.61687665343915
2005-05-01,2.5,2.57836474867725
2005-06-01,3.5,3.2984837962963
2005-07-01,3,3.28001818783069
2005-08-01,2.7,2.99923115079365
2005-09-01,2.9,3.28256448412698
2005-10-01,2.4,2.93001818783069
2005-11-01,3.9,4.02050760582011
2005-12-01,6.2,6.01169808201058
2006-01-01,2.8,2.45729332010582
2006-02-01,3.3,2.94253141534392
2006-03-01,3.6,3.08241236772487
2006-04-01,3.5,3.41687665343915
2006-05-01,2.8,2.87836474867725
2006-06-01,3.3,3.0984837962963
2006-07-01,2.8,3.08001818783069
2006-08-01,2.7,2.99923115079365
2006-09-01,2.3,2.68256448412698
2006-10-01,2.1,2.63001818783069
2006-11-01,2.4,2.52050760582011
2006-12-01,2.7,2.51169808201058
2007-01-01,2.9,2.55729332010582
2007-02-01,2.6,2.24253141534392
2007-03-01,2.4,1.88241236772487
2007-04-01,2.1,2.01687665343915
2007-05-01,2.1,2.17836474867725
2007-06-01,2.5,2.2984837962963
2007-07-01,2,2.28001818783069
2007-08-01,2.3,2.59923115079365
2007-09-01,2.2,2.58256448412698
2007-10-01,2.2,2.73001818783069
2007-11-01,2.5,2.62050760582011
2007-12-01,2.9,2.71169808201058
2008-01-01,2.9,2.55729332010582
2008-02-01,2.8,2.44253141534392
2008-03-01,2.7,2.18241236772487
2008-04-01,2.2,2.11687665343915
2008-05-01,2.1,2.17836474867725
2008-06-01,2.4,2.1984837962963
2008-07-01,1.7,1.98001818783069
2008-08-01,2.1,2.39923115079365
2008-09-01,2,2.38256448412698
2008-10-01,2,2.53001818783069
2008-11-01,2.3,2.42050760582011
2008-12-01,2.3,2.11169808201058
2009-01-01,3.3,2.95729332010582
2009-02-01,3.4,3.04253141534392
2009-03-01,3.6,3.08241236772487
2009-04-01,3.2,3.11687665343915
2009-05-01,3.1,3.17836474867725
2009-06-01,3.4,3.1984837962963
2009-07-01,2.9,3.18001818783069
2009-08-01,2.9,3.19923115079365
2009-09-01,2.5,2.88256448412698
2009-10-01,2.4,2.93001818783069
2009-11-01,2.5,2.62050760582011
2009-12-01,3.1,2.91169808201058
2010-01-01,3.4,3.05729332010582
2010-02-01,2.6,2.24253141534392
2010-03-01,3.5,2.98241236772487
2010-04-01,2.5,2.41687665343915
2010-05-01,2.3,2.37836474867725
2010-06-01,2.8,2.5984837962963
2010-07-01,2.4,2.68001818783069
2010-08-01,2.3,2.59923115079365
2010-09-01,2.7,3.08256448412698
2010-10-01,2.7,3.23001818783069
2010-11-01,3.2,3.32050760582011
2010-12-01,3.5,3.31169808201058
2011-01-01,3.2,2.85729332010582
2011-02-01,3.2,2.84253141534392
2011-03-01,3.1,2.58241236772487
2011-04-01,2.2,2.11687665343915
2011-05-01,2.5,2.57836474867725
2011-06-01,2.8,2.5984837962963
2011-07-01,2.4,2.68001818783069
2011-08-01,2.4,2.69923115079365
2011-09-01,2.4,2.78256448412698
2011-10-01,2.3,2.83001818783069
2011-11-01,2.6,2.72050760582011
2011-12-01,3.2,3.01169808201058
2012-01-01,3.5,3.15729332010582
2012-02-01,3.5,3.14253141534392
2012-03-01,3.4,2.88241236772487
2012-04-01,2.4,2.31687665343915
2012-05-01,2.3,2.37836474867725
2012-06-01,2.8,2.5984837962963
2012-07-01,2.6,2.88001818783069
2012-08-01,2.4,2.69923115079365
2012-09-01,2.1,2.48256448412698
2012-10-01,2.3,2.83001818783069
2012-11-01,2.4,2.52050760582011
2012-12-01,2.9,2.71169808201058
2013-01-01,2.8,2.45729332010582
2013-02-01,3.1,2.74253141534392
2013-03-01,2.9,2.38241236772487
2013-04-01,2.4,2.31687665343915
2013-05-01,2.2,2.27836474867725
2013-06-01,2.6,2.3984837962963
2013-07-01,2.4,2.68001818783069
2013-08-01,2,2.29923115079365
2013-09-01,2.4,2.78256448412698
2013-10-01,2.1,2.63001818783069
2013-11-01,2.1,2.22050760582011
2013-12-01,2.7,2.51169808201058
2014-01-01,2.9,2.55729332010582
2014-02-01,3.6,3.24253141534392
2014-03-01,3.3,2.78241236772487
2014-04-01,3.1,3.01687665343915
2014-05-01,2.9,2.97836474867725
2014-06-01,2.6,2.3984837962963
2014-07-01,2.1,2.38001818783069
2014-08-01,2.1,2.39923115079365
2014-09-01,2.1,2.48256448412698
2014-10-01,2,2.53001818783069
2014-11-01,2.6,2.72050760582011
2014-12-01,2.8,2.61169808201058
2015-01-01,3.3,2.95729332010582
2015-02-01,3.7,3.34253141534392
2015-03-01,4,3.48241236772487
2015-04-01,3.5,3.41687665343915
2015-05-01,3.3,3.37836474867725
2015-06-01,3.2,2.9984837962963
2015-07-01,2.4,2.68001818783069
2015-08-01,2.4,2.69923115079365
2015-09-01,2.6,2.98256448412698
2015-10-01,2,2.53001818783069
2015-11-01,2.1,2.22050760582011
2015-12-01,2.5,2.31169808201058
2016-01-01,2.9,2.55729332010582
2016-02-01,2.8,2.44253141534392
2016-03-01,3.6,3.08241236772487
2016-04-01,3.1,3.01687665343915
2016-05-01,2.7,2.77836474867725
2016-06-01,2.6,2.3984837962963
2016-07-01,2.3,2.58001818783069
2016-08-01,2.2,2.49923115079365
2016-09-01,2.1,2.48256448412698
2016-10-01,1.8,2.33001818783069
2016-11-01,1.8,1.92050760582011
2016-12-01,2.5,2.31169808201058
2017-01-01,2.9,2.55729332010582
2017-02-01,3.2,2.84253141534392
2017-03-01,3.1,2.58241236772487
2017-04-01,2.8,2.71687665343915
2017-05-01,1.9,1.97836474867725
2017-06-01,2.3,2.0984837962963
2017-07-01,1.9,2.18001818783069
2017-08-01,2,2.29923115079365
2017-09-01,1.9,2.28256448412698
2017-10-01,1.9,2.43001818783069
2017-11-01,2.1,2.22050760582011
2017-12-01,2.6,2.41169808201058
2018-01-01,2.9,2.55729332010582
2018-02-01,2.3,1.94253141534392
2018-03-01,2.3,1.78241236772487
2018-04-01,1.9,1.81687665343915
2018-05-01,1.5,1.57836474867725
2018-06-01,1.7,1.4984837962963
2018-07-01,1.2,1.48001818783069
2018-08-01,1.4,1.69923115079365
