"date","value","deseasonalized_value"
1990-01-01,6.5,6.19114583333333
1990-02-01,6.1,5.95316964285714
1990-03-01,5.5,5.6403125
1990-04-01,5.2,5.52328869047619
1990-05-01,5.4,5.44566964285714
1990-06-01,5.2,5.0130505952381
1990-07-01,5.8,5.47687003968254
1990-08-01,5.6,5.49110615079365
1990-09-01,6.3,6.34203207671958
1990-10-01,6.5,6.55094411375661
1990-11-01,6.6,6.79436011904762
1990-12-01,6.7,6.9780505952381
1991-01-01,7.6,7.29114583333333
1991-02-01,7.6,7.45316964285714
1991-03-01,7.5,7.6403125
1991-04-01,7.3,7.62328869047619
1991-05-01,7.7,7.74566964285714
1991-06-01,7.8,7.61305059523809
1991-07-01,7.7,7.37687003968254
1991-08-01,7.8,7.69110615079365
1991-09-01,7.6,7.64203207671958
1991-10-01,7.9,7.95094411375661
1991-11-01,8.4,8.59436011904762
1991-12-01,8.6,8.8780505952381
1992-01-01,9.6,9.29114583333333
1992-02-01,9.7,9.55316964285714
1992-03-01,9.1,9.2403125
1992-04-01,8.6,8.92328869047619
1992-05-01,9.1,9.14566964285714
1992-06-01,9.8,9.6130505952381
1992-07-01,9.9,9.57687003968254
1992-08-01,9.6,9.49110615079365
1992-09-01,9.8,9.84203207671958
1992-10-01,9.5,9.55094411375661
1992-11-01,9.6,9.79436011904762
1992-12-01,9.9,10.1780505952381
1993-01-01,10.8,10.4911458333333
1993-02-01,10.3,10.1531696428571
1993-03-01,9.1,9.2403125
1993-04-01,8.4,8.72328869047619
1993-05-01,8.5,8.54566964285714
1993-06-01,8.8,8.6130505952381
1993-07-01,8.9,8.57687003968254
1993-08-01,8.7,8.59110615079365
1993-09-01,8.3,8.34203207671958
1993-10-01,9,9.05094411375661
1993-11-01,8.8,8.99436011904762
1993-12-01,8.8,9.0780505952381
1994-01-01,9.3,8.99114583333333
1994-02-01,8.7,8.55316964285714
1994-03-01,8.2,8.3403125
1994-04-01,7.8,8.12328869047619
1994-05-01,7.3,7.34566964285714
1994-06-01,7.4,7.2130505952381
1994-07-01,7.7,7.37687003968254
1994-08-01,7.4,7.29110615079365
1994-09-01,7.2,7.24203207671958
1994-10-01,7.1,7.15094411375661
1994-11-01,6.7,6.89436011904762
1994-12-01,6.1,6.3780505952381
1995-01-01,7.1,6.79114583333333
1995-02-01,6.7,6.55316964285714
1995-03-01,6.6,6.7403125
1995-04-01,6.9,7.22328869047619
1995-05-01,6.8,6.84566964285714
1995-06-01,7.2,7.0130505952381
1995-07-01,7.3,6.97687003968254
1995-08-01,7.2,7.09110615079365
1995-09-01,7.2,7.24203207671958
1995-10-01,7,7.05094411375661
1995-11-01,6.7,6.89436011904762
1995-12-01,6.8,7.0780505952381
1996-01-01,7.3,6.99114583333333
1996-02-01,7.1,6.95316964285714
1996-03-01,7.3,7.4403125
1996-04-01,6.7,7.02328869047619
1996-05-01,7.3,7.34566964285714
1996-06-01,7.3,7.11305059523809
1996-07-01,7.8,7.47687003968254
1996-08-01,7.2,7.09110615079365
1996-09-01,7.4,7.44203207671958
1996-10-01,7.4,7.45094411375661
1996-11-01,7.8,7.99436011904762
1996-12-01,7.9,8.1780505952381
1997-01-01,8.5,8.19114583333333
1997-02-01,8.1,7.95316964285714
1997-03-01,8.1,8.2403125
1997-04-01,7.8,8.12328869047619
1997-05-01,7.7,7.74566964285714
1997-06-01,8.2,8.0130505952381
1997-07-01,8,7.67687003968254
1997-08-01,7.7,7.59110615079365
1997-09-01,7.9,7.94203207671958
1997-10-01,7.4,7.45094411375661
1997-11-01,7,7.19436011904762
1997-12-01,6.9,7.1780505952381
1998-01-01,7.6,7.29114583333333
1998-02-01,7.4,7.25316964285714
1998-03-01,7.1,7.2403125
1998-04-01,5.9,6.22328869047619
1998-05-01,6.5,6.54566964285714
1998-06-01,6.8,6.61305059523809
1998-07-01,6.7,6.37687003968254
1998-08-01,6.3,6.19110615079365
1998-09-01,6.6,6.64203207671958
1998-10-01,6.7,6.75094411375661
1998-11-01,6.4,6.59436011904762
1998-12-01,6.2,6.4780505952381
1999-01-01,6.6,6.29114583333333
1999-02-01,6.5,6.35316964285714
1999-03-01,5.8,5.9403125
1999-04-01,5.8,6.12328869047619
1999-05-01,5.7,5.74566964285714
1999-06-01,6.2,6.0130505952381
1999-07-01,6.2,5.87687003968254
1999-08-01,5.7,5.59110615079365
1999-09-01,6,6.04203207671958
1999-10-01,5.7,5.75094411375661
1999-11-01,5.3,5.49436011904762
1999-12-01,4.9,5.1780505952381
2000-01-01,5.6,5.29114583333333
2000-02-01,5.4,5.25316964285714
2000-03-01,5.4,5.5403125
2000-04-01,4.8,5.12328869047619
2000-05-01,5,5.04566964285714
2000-06-01,4.8,4.61305059523809
2000-07-01,5.1,4.77687003968254
2000-08-01,5.1,4.99110615079365
2000-09-01,4.9,4.94203207671958
2000-10-01,4.9,4.95094411375661
2000-11-01,4.9,5.09436011904762
2000-12-01,4.6,4.8780505952381
2001-01-01,5.1,4.79114583333333
2001-02-01,5.1,4.95316964285714
2001-03-01,5,5.1403125
2001-04-01,4.7,5.02328869047619
2001-05-01,4.7,4.74566964285714
2001-06-01,5.2,5.0130505952381
2001-07-01,5.4,5.07687003968254
2001-08-01,6,5.89110615079365
2001-09-01,6.3,6.34203207671958
2001-10-01,6.8,6.85094411375661
2001-11-01,7.1,7.29436011904762
2001-12-01,7.4,7.6780505952381
2002-01-01,8,7.69114583333333
2002-02-01,7.8,7.65316964285714
2002-03-01,7.8,7.9403125
2002-04-01,7.6,7.92328869047619
2002-05-01,7.3,7.34566964285714
2002-06-01,7.6,7.41305059523809
2002-07-01,7.6,7.27687003968254
2002-08-01,7.3,7.19110615079365
2002-09-01,7.3,7.34203207671958
2002-10-01,7.6,7.65094411375661
2002-11-01,7.9,8.09436011904762
2002-12-01,7.8,8.07805059523809
2003-01-01,8.2,7.89114583333333
2003-02-01,8,7.85316964285714
2003-03-01,7.5,7.6403125
2003-04-01,7.2,7.52328869047619
2003-05-01,7.2,7.24566964285714
2003-06-01,7.8,7.61305059523809
2003-07-01,7.6,7.27687003968254
2003-08-01,7.4,7.29110615079365
2003-09-01,7.5,7.54203207671958
2003-10-01,7.2,7.25094411375661
2003-11-01,7.1,7.29436011904762
2003-12-01,6.7,6.9780505952381
2004-01-01,7.3,6.99114583333333
2004-02-01,6.9,6.75316964285714
2004-03-01,6.9,7.0403125
2004-04-01,6.2,6.52328869047619
2004-05-01,6,6.04566964285714
2004-06-01,6.5,6.31305059523809
2004-07-01,6.2,5.87687003968254
2004-08-01,5.8,5.69110615079365
2004-09-01,5.7,5.74203207671958
2004-10-01,5.5,5.55094411375661
2004-11-01,5.2,5.39436011904762
2004-12-01,5.2,5.4780505952381
2005-01-01,5.5,5.19114583333333
