"date","value","deseasonalized_value"
1990-01-01,5.1,4.94914682539682
1990-02-01,5.1,5.09617063492063
1990-03-01,4.7,4.84914682539683
1990-04-01,4.8,5.01367063492063
1990-05-01,4.9,4.94962301587302
1990-06-01,5.3,4.8078373015873
1990-07-01,5.4,4.98176587301587
1990-08-01,5.4,5.21450396825397
1990-09-01,5.5,5.43045634920635
1990-10-01,5,5.23474206349206
1990-11-01,5.3,5.54164682539683
1990-12-01,5.1,5.53128968253968
1991-01-01,5.6,5.44914682539682
1991-02-01,5.5,5.49617063492063
1991-03-01,5.5,5.64914682539683
1991-04-01,5.3,5.51367063492063
1991-05-01,5.6,5.64962301587302
1991-06-01,6.2,5.7078373015873
1991-07-01,6.1,5.68176587301587
1991-08-01,6.1,5.91450396825397
1991-09-01,6.1,6.03045634920635
1991-10-01,6,6.23474206349206
1991-11-01,6.1,6.34164682539683
1991-12-01,6,6.43128968253968
1992-01-01,7.2,7.04914682539683
1992-02-01,7.1,7.09617063492063
1992-03-01,7,7.14914682539683
1992-04-01,6.7,6.91367063492063
1992-05-01,7.3,7.34962301587302
1992-06-01,8.2,7.7078373015873
1992-07-01,7.8,7.38176587301587
1992-08-01,7.7,7.51450396825397
1992-09-01,7.7,7.63045634920635
1992-10-01,7.2,7.43474206349206
1992-11-01,7.5,7.74164682539683
1992-12-01,7.2,7.63128968253968
1993-01-01,8,7.84914682539682
1993-02-01,8,7.99617063492063
1993-03-01,7.5,7.64914682539683
1993-04-01,7.4,7.61367063492064
1993-05-01,7.4,7.44962301587302
1993-06-01,8.3,7.8078373015873
1993-07-01,8,7.58176587301587
1993-08-01,7.6,7.41450396825397
1993-09-01,7.6,7.53045634920635
1993-10-01,7.5,7.73474206349206
1993-11-01,7.5,7.74164682539683
1993-12-01,6.7,7.13128968253968
1994-01-01,7.6,7.44914682539682
1994-02-01,7.5,7.49617063492063
1994-03-01,7.3,7.44914682539683
1994-04-01,7,7.21367063492063
1994-05-01,6.8,6.84962301587302
1994-06-01,7.5,7.0078373015873
1994-07-01,7.2,6.78176587301587
1994-08-01,6.9,6.71450396825397
1994-09-01,6.7,6.63045634920635
1994-10-01,6.3,6.53474206349206
1994-11-01,6.1,6.34164682539683
1994-12-01,5.6,6.03128968253968
1995-01-01,6.4,6.24914682539683
1995-02-01,5.9,5.89617063492063
1995-03-01,5.7,5.84914682539683
1995-04-01,5.9,6.11367063492064
1995-05-01,5.9,5.94962301587302
1995-06-01,6.6,6.1078373015873
1995-07-01,6.6,6.18176587301587
1995-08-01,6.4,6.21450396825397
1995-09-01,6.3,6.23045634920635
1995-10-01,5.9,6.13474206349206
1995-11-01,5.8,6.04164682539683
1995-12-01,5.5,5.93128968253968
1996-01-01,6.3,6.14914682539682
1996-02-01,5.8,5.79617063492063
1996-03-01,5.7,5.84914682539683
1996-04-01,5.5,5.71367063492063
1996-05-01,5.6,5.64962301587302
1996-06-01,5.9,5.4078373015873
1996-07-01,5.9,5.48176587301587
1996-08-01,5.5,5.31450396825397
1996-09-01,5.4,5.33045634920635
1996-10-01,5.1,5.33474206349206
1996-11-01,5.4,5.64164682539683
1996-12-01,5.2,5.63128968253968
1997-01-01,5.9,5.74914682539683
1997-02-01,5.9,5.89617063492063
1997-03-01,5.8,5.94914682539683
1997-04-01,5.2,5.41367063492063
1997-05-01,5.3,5.34962301587302
1997-06-01,6,5.5078373015873
1997-07-01,5.6,5.18176587301587
1997-08-01,5.3,5.11450396825397
1997-09-01,5.1,5.03045634920635
1997-10-01,4.7,4.93474206349206
1997-11-01,4.4,4.64164682539683
1997-12-01,4.2,4.63128968253968
1998-01-01,4.8,4.64914682539682
1998-02-01,4.5,4.49617063492063
1998-03-01,4.5,4.64914682539683
1998-04-01,3.9,4.11367063492064
1998-05-01,4.2,4.24962301587302
1998-06-01,5.1,4.6078373015873
1998-07-01,4.8,4.38176587301587
1998-08-01,4.6,4.41450396825397
1998-09-01,4.4,4.33045634920635
1998-10-01,4.1,4.33474206349206
1998-11-01,3.9,4.14164682539683
1998-12-01,3.8,4.23128968253968
1999-01-01,4.4,4.24914682539683
1999-02-01,4.4,4.39617063492063
1999-03-01,4.2,4.34914682539683
1999-04-01,4.5,4.71367063492063
1999-05-01,4.7,4.74962301587302
1999-06-01,5.3,4.8078373015873
1999-07-01,5.3,4.88176587301587
1999-08-01,5.1,4.91450396825397
1999-09-01,5.2,5.13045634920635
1999-10-01,4.9,5.13474206349206
1999-11-01,4.7,4.94164682539683
1999-12-01,4.5,4.93128968253968
2000-01-01,4.9,4.74914682539683
2000-02-01,4.9,4.89617063492063
2000-03-01,4.7,4.84914682539683
2000-04-01,4.1,4.31367063492063
2000-05-01,4.3,4.34962301587302
2000-06-01,4.7,4.2078373015873
2000-07-01,4.6,4.18176587301587
2000-08-01,4.6,4.41450396825397
2000-09-01,4.3,4.23045634920635
2000-10-01,3.9,4.13474206349206
2000-11-01,3.8,4.04164682539683
2000-12-01,3.4,3.83128968253968
2001-01-01,4.1,3.94914682539682
2001-02-01,3.9,3.89617063492063
2001-03-01,4.1,4.24914682539683
2001-04-01,4.1,4.31367063492063
2001-05-01,4.2,4.24962301587302
2001-06-01,5.1,4.6078373015873
2001-07-01,4.9,4.48176587301587
