"date","value","deseasonalized_value"
1994-01-01,8,8.11614284647551
1994-02-01,7.9,8.02017510454002
1994-03-01,7.8,7.91184177120669
1994-04-01,7.7,7.46224499701314
1994-05-01,7.3,7.12313209378734
1994-06-01,7.3,7.17659535543608
1994-07-01,7.4,7.32461058841099
1994-08-01,7.3,7.28119660991637
1994-09-01,7.2,7.24154607228196
1994-10-01,7,7.06668048088411
1994-11-01,6.8,6.87313209378734
1994-12-01,6.7,6.80270198626045
1995-01-01,6.7,6.81614284647551
1995-02-01,6.6,6.72017510454002
1995-03-01,6.6,6.71184177120669
1995-04-01,6.8,6.56224499701314
1995-05-01,6.8,6.62313209378734
1995-06-01,6.7,6.57659535543608
1995-07-01,6.8,6.72461058841099
1995-08-01,6.8,6.78119660991637
1995-09-01,6.7,6.74154607228196
1995-10-01,6.7,6.76668048088411
1995-11-01,6.7,6.77313209378734
1995-12-01,6.7,6.80270198626045
1996-01-01,6.8,6.91614284647551
1996-02-01,6.7,6.82017510454002
1996-03-01,6.6,6.71184177120669
1996-04-01,6.7,6.46224499701314
1996-05-01,6.6,6.42313209378734
1996-06-01,6.5,6.37659535543608
1996-07-01,6.5,6.42461058841099
1996-08-01,6.2,6.18119660991637
1996-09-01,6.2,6.24154607228196
1996-10-01,6.2,6.26668048088411
1996-11-01,6.4,6.47313209378734
1996-12-01,6.4,6.50270198626045
1997-01-01,6.3,6.41614284647551
1997-02-01,6.2,6.32017510454002
1997-03-01,6.2,6.31184177120669
1997-04-01,6.1,5.86224499701314
1997-05-01,5.9,5.72313209378734
1997-06-01,6,5.87659535543608
1997-07-01,5.8,5.72461058841099
1997-08-01,5.8,5.78119660991637
1997-09-01,5.8,5.84154607228196
1997-10-01,5.6,5.66668048088411
1997-11-01,5.6,5.67313209378734
1997-12-01,5.7,5.80270198626045
1998-01-01,5.6,5.71614284647551
1998-02-01,5.5,5.62017510454002
1998-03-01,5.6,5.71184177120669
1998-04-01,5.2,4.96224499701314
1998-05-01,5.3,5.12313209378734
1998-06-01,5.4,5.27659535543608
1998-07-01,5.5,5.42461058841099
1998-08-01,5.4,5.38119660991637
1998-09-01,5.5,5.54154607228196
1998-10-01,5.4,5.46668048088411
1998-11-01,5.3,5.37313209378734
1998-12-01,5.2,5.30270198626045
1999-01-01,5.2,5.31614284647551
1999-02-01,5.2,5.32017510454002
1999-03-01,5,5.11184177120669
1999-04-01,5.2,4.96224499701314
1999-05-01,5,4.82313209378734
1999-06-01,5.1,4.97659535543608
1999-07-01,5.1,5.02461058841099
1999-08-01,5,4.98119660991637
1999-09-01,5,5.04154607228196
1999-10-01,5,5.06668048088411
1999-11-01,4.9,4.97313209378734
1999-12-01,4.8,4.90270198626045
2000-01-01,4.8,4.91614284647551
2000-02-01,4.9,5.02017510454002
2000-03-01,4.8,4.91184177120669
2000-04-01,4.7,4.46224499701314
2000-05-01,4.8,4.62313209378734
2000-06-01,4.7,4.57659535543608
2000-07-01,4.8,4.72461058841099
2000-08-01,4.8,4.78119660991637
2000-09-01,4.7,4.74154607228196
2000-10-01,4.6,4.66668048088411
2000-11-01,4.7,4.77313209378734
