"date","value","deseasonalized_value"
1948-01-01,3.4,3.44373783654211
1948-02-01,3.8,3.85207116987545
1948-03-01,4,4.03962528242956
1948-04-01,3.9,3.8040192218235
1948-05-01,3.5,3.42826164606592
1948-06-01,3.6,3.54042059457356
1948-07-01,3.6,3.56819671100099
1948-08-01,3.9,3.89985255515683
1948-09-01,3.8,3.82609714390142
1948-10-01,3.7,3.72247160277588
1948-11-01,3.8,3.83729844260272
1948-12-01,4,4.03794779325207
1949-01-01,4.3,4.34373783654211
1949-02-01,4.7,4.75207116987545
1949-03-01,5,5.03962528242956
1949-04-01,5.3,5.2040192218235
1949-05-01,6.1,6.02826164606592
1949-06-01,6.2,6.14042059457356
1949-07-01,6.7,6.66819671100099
1949-08-01,6.8,6.79985255515683
1949-09-01,6.6,6.62609714390142
1949-10-01,7.9,7.92247160277588
1949-11-01,6.4,6.43729844260272
1949-12-01,6.6,6.63794779325207
1950-01-01,6.5,6.54373783654211
1950-02-01,6.4,6.45207116987545
1950-03-01,6.3,6.33962528242956
1950-04-01,5.8,5.7040192218235
1950-05-01,5.5,5.42826164606592
1950-06-01,5.4,5.34042059457356
1950-07-01,5,4.96819671100099
1950-08-01,4.5,4.49985255515683
1950-09-01,4.4,4.42609714390142
1950-10-01,4.2,4.22247160277588
1950-11-01,4.2,4.23729844260272
1950-12-01,4.3,4.33794779325207
1951-01-01,3.7,3.74373783654211
1951-02-01,3.4,3.45207116987545
1951-03-01,3.4,3.43962528242956
1951-04-01,3.1,3.0040192218235
1951-05-01,3,2.92826164606592
1951-06-01,3.2,3.14042059457356
1951-07-01,3.1,3.06819671100099
1951-08-01,3.1,3.09985255515683
1951-09-01,3.3,3.32609714390142
1951-10-01,3.5,3.52247160277588
1951-11-01,3.5,3.53729844260272
1951-12-01,3.1,3.13794779325207
1952-01-01,3.2,3.24373783654211
1952-02-01,3.1,3.15207116987545
1952-03-01,2.9,2.93962528242956
1952-04-01,2.9,2.8040192218235
1952-05-01,3,2.92826164606592
1952-06-01,3,2.94042059457356
1952-07-01,3.2,3.16819671100099
1952-08-01,3.4,3.39985255515683
1952-09-01,3.1,3.12609714390142
1952-10-01,3,3.02247160277588
1952-11-01,2.8,2.83729844260272
1952-12-01,2.7,2.73794779325207
1953-01-01,2.9,2.94373783654211
1953-02-01,2.6,2.65207116987545
1953-03-01,2.6,2.63962528242956
1953-04-01,2.7,2.6040192218235
1953-05-01,2.5,2.42826164606592
1953-06-01,2.5,2.44042059457356
1953-07-01,2.6,2.56819671100099
1953-08-01,2.7,2.69985255515683
1953-09-01,2.9,2.92609714390142
1953-10-01,3.1,3.12247160277588
1953-11-01,3.5,3.53729844260272
1953-12-01,4.5,4.53794779325207
1954-01-01,4.9,4.94373783654211
1954-02-01,5.2,5.25207116987545
1954-03-01,5.7,5.73962528242956
1954-04-01,5.9,5.8040192218235
1954-05-01,5.9,5.82826164606592
1954-06-01,5.6,5.54042059457355
1954-07-01,5.8,5.76819671100099
1954-08-01,6,5.99985255515683
1954-09-01,6.1,6.12609714390142
1954-10-01,5.7,5.72247160277588
1954-11-01,5.3,5.33729844260272
1954-12-01,5,5.03794779325207
1955-01-01,4.9,4.94373783654211
1955-02-01,4.7,4.75207116987545
1955-03-01,4.6,4.63962528242956
1955-04-01,4.7,4.6040192218235
1955-05-01,4.3,4.22826164606592
1955-06-01,4.2,4.14042059457356
1955-07-01,4,3.96819671100099
1955-08-01,4.2,4.19985255515683
1955-09-01,4.1,4.12609714390142
1955-10-01,4.3,4.32247160277588
1955-11-01,4.2,4.23729844260272
1955-12-01,4.2,4.23794779325207
1956-01-01,4,4.04373783654211
1956-02-01,3.9,3.95207116987545
1956-03-01,4.2,4.23962528242956
1956-04-01,4,3.9040192218235
1956-05-01,4.3,4.22826164606592
1956-06-01,4.3,4.24042059457356
1956-07-01,4.4,4.36819671100099
1956-08-01,4.1,4.09985255515683
1956-09-01,3.9,3.92609714390142
1956-10-01,3.9,3.92247160277588
1956-11-01,4.3,4.33729844260272
