"date","value","deseasonalized_value"
1990-01-01,19.6,17.7117606371252
1990-02-01,17.5,14.8719987323633
1990-03-01,13.4,11.6823558752205
1990-04-01,14.3,14.1858677799824
1990-05-01,10.9,11.4153320656966
1990-06-01,14.2,14.5344987323633
1990-07-01,12.9,13.4143036265432
1990-08-01,16.1,16.8229841820988
1990-09-01,13.8,15.2335165895062
1990-10-01,12.1,13.6881462191358
1990-11-01,14.1,15.1016415895062
1990-12-01,14.1,14.3375939704586
1991-01-01,17.8,15.9117606371252
1991-02-01,18.5,15.8719987323633
1991-03-01,17.6,15.8823558752205
1991-04-01,17.1,16.9858677799824
1991-05-01,13.6,14.1153320656966
1991-06-01,13.1,13.4344987323633
1991-07-01,12.1,12.6143036265432
1991-08-01,11.3,12.0229841820988
1991-09-01,11.4,12.8335165895062
1991-10-01,10.4,11.9881462191358
1991-11-01,13.2,14.2016415895062
1991-12-01,16.8,17.0375939704586
1992-01-01,16.4,14.5117606371252
1992-02-01,17.1,14.4719987323633
1992-03-01,15.3,13.5823558752205
1992-04-01,13.4,13.2858677799824
1992-05-01,14.8,15.3153320656966
1992-06-01,14.1,14.4344987323633
1992-07-01,11.9,12.4143036265432
1992-08-01,14.1,14.8229841820988
1992-09-01,10.8,12.2335165895062
1992-10-01,12.2,13.7881462191358
1992-11-01,15.1,16.1016415895062
1992-12-01,17.9,18.1375939704586
1993-01-01,18.5,16.6117606371252
1993-02-01,17.9,15.2719987323633
1993-03-01,19,17.2823558752205
1993-04-01,14.3,14.1858677799824
1993-05-01,14.1,14.6153320656966
1993-06-01,13.1,13.4344987323633
1993-07-01,14,14.5143036265432
1993-08-01,12.1,12.8229841820988
1993-09-01,12.6,14.0335165895062
1993-10-01,12.2,13.7881462191358
1993-11-01,19,20.0016415895062
1993-12-01,17.8,18.0375939704586
1994-01-01,24.9,23.0117606371252
1994-02-01,23.5,20.8719987323633
1994-03-01,21.1,19.3823558752205
1994-04-01,16.5,16.3858677799824
1994-05-01,14,14.5153320656966
1994-06-01,13.1,13.4344987323633
1994-07-01,11.4,11.9143036265432
1994-08-01,11.6,12.3229841820988
1994-09-01,10.8,12.2335165895062
1994-10-01,10.3,11.8881462191358
1994-11-01,10.1,11.1016415895062
1994-12-01,13.2,13.4375939704586
1995-01-01,16.6,14.7117606371252
1995-02-01,16,13.3719987323633
1995-03-01,16.6,14.8823558752205
1995-04-01,14.2,14.0858677799824
1995-05-01,14.6,15.1153320656966
1995-06-01,14.5,14.8344987323633
1995-07-01,12.3,12.8143036265432
1995-08-01,11.2,11.9229841820988
1995-09-01,10.6,12.0335165895062
1995-10-01,10.6,12.1881462191358
1995-11-01,12.5,13.5016415895062
1995-12-01,12.7,12.9375939704586
1996-01-01,17,15.1117606371252
1996-02-01,16.5,13.8719987323633
1996-03-01,16.3,14.5823558752205
1996-04-01,14.5,14.3858677799824
1996-05-01,15,15.5153320656966
1996-06-01,14,14.3344987323633
1996-07-01,16.8,17.3143036265432
1996-08-01,11.8,12.5229841820988
1996-09-01,11.3,12.7335165895062
1996-10-01,11.1,12.6881462191358
1996-11-01,10.6,11.6016415895062
1996-12-01,12,12.2375939704586
1997-01-01,15.4,13.5117606371252
1997-02-01,17,14.3719987323633
1997-03-01,14.4,12.6823558752205
1997-04-01,11,10.8858677799824
1997-05-01,8.6,9.11533206569665
1997-06-01,10.2,10.5344987323633
1997-07-01,11.4,11.9143036265432
1997-08-01,8.7,9.42298418209876
1997-09-01,9,10.4335165895062
1997-10-01,9.2,10.7881462191358
1997-11-01,10.2,11.2016415895062
1997-12-01,11.8,12.0375939704586
1998-01-01,13.1,11.2117606371252
1998-02-01,16.4,13.7719987323633
1998-03-01,15.3,13.5823558752205
1998-04-01,13.3,13.1858677799824
1998-05-01,10.9,11.4153320656966
1998-06-01,11.5,11.8344987323633
1998-07-01,11.1,11.6143036265432
1998-08-01,9.6,10.3229841820988
1998-09-01,9.4,10.8335165895062
1998-10-01,7.7,9.2881462191358
1998-11-01,7.2,8.20164158950617
1998-12-01,8.1,8.33759397045855
1999-01-01,13,11.1117606371252
1999-02-01,12.7,10.0719987323633
1999-03-01,10.6,8.88235587522046
1999-04-01,8.4,8.28586777998236
1999-05-01,7.3,7.81533206569665
1999-06-01,9.8,10.1344987323633
1999-07-01,10,10.5143036265432
1999-08-01,10.2,10.9229841820988
1999-09-01,8.9,10.3335165895062
1999-10-01,8.3,9.8881462191358
1999-11-01,7.9,8.90164158950617
1999-12-01,8.1,8.33759397045855
2000-01-01,8.2,6.31176063712522
