"date","value","deseasonalized_value"
1990-01-01,7,7.27829861111111
1990-02-01,7.1,7.50501429738562
1990-03-01,7.3,7.32094566993464
1990-04-01,7.5,7.55047998366013
1990-05-01,7.3,7.2749897875817
1990-06-01,7.3,7.06469566993464
1990-07-01,7.7,7.36040645424837
1990-08-01,7.9,7.56150939542484
1990-09-01,8.3,7.94239174836601
1990-10-01,7.9,7.84986723856209
1990-11-01,7.9,8.1546466503268
1990-12-01,7.8,8.13675449346405
1991-01-01,7.7,7.97829861111111
1991-02-01,7.7,8.10501429738562
1991-03-01,8.1,8.12094566993464
1991-04-01,7.9,7.95047998366013
1991-05-01,8.2,8.1749897875817
1991-06-01,8.2,7.96469566993464
1991-07-01,8.3,7.96040645424837
1991-08-01,8.4,8.06150939542484
1991-09-01,8.8,8.44239174836601
1991-10-01,8.6,8.54986723856209
1991-11-01,8.2,8.4546466503268
1991-12-01,8.4,8.73675449346405
1992-01-01,8.4,8.67829861111111
1992-02-01,8.6,9.00501429738562
1992-03-01,8.9,8.92094566993464
1992-04-01,8.6,8.65047998366013
1992-05-01,8.7,8.6749897875817
1992-06-01,9.1,8.86469566993464
1992-07-01,9.2,8.86040645424836
1992-08-01,9.2,8.86150939542484
1992-09-01,9.4,9.04239174836601
1992-10-01,8.9,8.84986723856209
1992-11-01,8.7,8.9546466503268
1992-12-01,8.6,8.93675449346405
1993-01-01,8.7,8.97829861111111
1993-02-01,8.7,9.10501429738562
1993-03-01,8.8,8.82094566993464
1993-04-01,8.5,8.55047998366013
1993-05-01,8.5,8.4749897875817
1993-06-01,8.8,8.56469566993464
1993-07-01,8.9,8.56040645424837
1993-08-01,8.8,8.46150939542484
1993-09-01,8.9,8.54239174836601
1993-10-01,8.8,8.74986723856209
1993-11-01,8.2,8.4546466503268
1993-12-01,8.1,8.43675449346405
1994-01-01,8.7,8.97829861111111
1994-02-01,8.5,8.90501429738562
1994-03-01,8.9,8.92094566993464
1994-04-01,8.7,8.75047998366013
1994-05-01,8.2,8.1749897875817
1994-06-01,8.4,8.16469566993464
1994-07-01,8.5,8.16040645424837
1994-08-01,8.5,8.16150939542484
1994-09-01,8.7,8.34239174836601
1994-10-01,8.3,8.24986723856209
1994-11-01,7.7,7.9546466503268
1994-12-01,7.4,7.73675449346405
1995-01-01,7.7,7.97829861111111
1995-02-01,7.2,7.60501429738562
1995-03-01,7.6,7.62094566993464
1995-04-01,8,8.05047998366013
1995-05-01,7.8,7.7749897875817
1995-06-01,7.8,7.56469566993464
1995-07-01,8.1,7.76040645424837
1995-08-01,8,7.66150939542484
1995-09-01,8.4,8.04239174836601
1995-10-01,8,7.94986723856209
1995-11-01,7.7,7.9546466503268
1995-12-01,7.5,7.83675449346405
1996-01-01,7.4,7.67829861111111
1996-02-01,7.4,7.80501429738562
1996-03-01,7.8,7.82094566993464
1996-04-01,7.5,7.55047998366013
1996-05-01,7.5,7.4749897875817
1996-06-01,7.2,6.96469566993464
1996-07-01,7.7,7.36040645424837
1996-08-01,7.1,6.76150939542484
1996-09-01,7.4,7.04239174836601
1996-10-01,7.1,7.04986723856209
1996-11-01,6.9,7.1546466503268
1996-12-01,6.8,7.13675449346405
1997-01-01,6.9,7.17829861111111
1997-02-01,6.6,7.00501429738562
1997-03-01,7.1,7.12094566993464
1997-04-01,6.8,6.85047998366013
1997-05-01,6.6,6.5749897875817
1997-06-01,6.7,6.46469566993464
1997-07-01,6.6,6.26040645424837
1997-08-01,6.6,6.26150939542484
1997-09-01,7,6.64239174836601
1997-10-01,6.5,6.44986723856209
1997-11-01,6.1,6.3546466503268
1997-12-01,6.1,6.43675449346405
1998-01-01,6.1,6.37829861111111
1998-02-01,5.9,6.30501429738562
1998-03-01,6.6,6.62094566993464
1998-04-01,5.8,5.85047998366013
1998-05-01,5.7,5.6749897875817
1998-06-01,5.9,5.66469566993464
1998-07-01,6,5.66040645424837
1998-08-01,5.8,5.46150939542484
1998-09-01,6.2,5.84239174836601
1998-10-01,5.8,5.74986723856209
1998-11-01,5.3,5.5546466503268
1998-12-01,5,5.33675449346405
1999-01-01,5,5.27829861111111
1999-02-01,5,5.40501429738562
1999-03-01,5.2,5.22094566993464
1999-04-01,5.2,5.25047998366013
1999-05-01,4.8,4.7749897875817
1999-06-01,4.9,4.66469566993464
1999-07-01,5.2,4.86040645424837
1999-08-01,5.1,4.76150939542484
1999-09-01,5.3,4.94239174836601
1999-10-01,4.9,4.84986723856209
1999-11-01,4.4,4.6546466503268
1999-12-01,4.2,4.53675449346405
2000-01-01,4.3,4.57829861111111
2000-02-01,4.3,4.70501429738562
2000-03-01,4.8,4.82094566993464
2000-04-01,4.4,4.45047998366013
2000-05-01,4.5,4.4749897875817
2000-06-01,4.5,4.26469566993464
2000-07-01,4.7,4.36040645424837
2000-08-01,4.7,4.36150939542484
2000-09-01,4.7,4.34239174836601
2000-10-01,4.4,4.34986723856209
2000-11-01,4.1,4.3546466503268
2000-12-01,4,4.33675449346405
2001-01-01,4.2,4.47829861111111
2001-02-01,4,4.40501429738562
2001-03-01,4.6,4.62094566993464
2001-04-01,4.5,4.55047998366013
2001-05-01,4.1,4.0749897875817
2001-06-01,4.5,4.26469566993464
2001-07-01,4.5,4.16040645424837
2001-08-01,4.9,4.56150939542484
2001-09-01,5,4.64239174836601
2001-10-01,4.8,4.74986723856209
2001-11-01,4.5,4.7546466503268
2001-12-01,4.3,4.63675449346405
2002-01-01,4.2,4.47829861111111
2002-02-01,4.1,4.50501429738562
2002-03-01,4.6,4.62094566993464
2002-04-01,4.4,4.45047998366013
2002-05-01,4.1,4.0749897875817
2002-06-01,4.5,4.26469566993464
2002-07-01,4.5,4.16040645424837
2002-08-01,4.5,4.16150939542484
2002-09-01,4.4,4.04239174836601
2002-10-01,4.1,4.04986723856209
2002-11-01,3.9,4.1546466503268
2002-12-01,3.7,4.03675449346405
2003-01-01,3.8,4.07829861111111
2003-02-01,3.6,4.00501429738562
2003-03-01,3.9,3.92094566993464
2003-04-01,3.7,3.75047998366013
2003-05-01,3.6,3.5749897875817
2003-06-01,4,3.76469566993464
2003-07-01,3.9,3.56040645424837
2003-08-01,4,3.66150939542484
2003-09-01,3.9,3.54239174836601
2003-10-01,3.6,3.54986723856209
2003-11-01,3.3,3.5546466503268
2003-12-01,3,3.33675449346405
2004-01-01,3.1,3.37829861111111
2004-02-01,3,3.40501429738562
2004-03-01,3.4,3.42094566993464
2004-04-01,3.1,3.15047998366013
2004-05-01,3.1,3.0749897875817
2004-06-01,3.4,3.16469566993464
2004-07-01,3.4,3.06040645424837
2004-08-01,3.3,2.96150939542484
2004-09-01,3.3,2.94239174836601
2004-10-01,3,2.94986723856209
2004-11-01,2.7,2.9546466503268
2004-12-01,2.5,2.83675449346405
2005-01-01,2.6,2.87829861111111
2005-02-01,2.5,2.90501429738562
2005-03-01,2.6,2.62094566993464
2005-04-01,2.4,2.45047998366013
2005-05-01,2.3,2.2749897875817
2005-06-01,2.5,2.26469566993464
2005-07-01,2.6,2.26040645424837
2005-08-01,2.5,2.16150939542484
2005-09-01,2.6,2.24239174836601
2005-10-01,2.2,2.14986723856209
2005-11-01,2,2.2546466503268
2005-12-01,1.8,2.13675449346405
