"date","value","deseasonalized_value"
1990-01-01,5.5,5.06290849673203
1990-02-01,6,5.66989379084967
1990-03-01,4.4,4.35580065359477
1990-04-01,4.3,4.69513888888889
1990-05-01,4.6,4.72430555555556
1990-06-01,6.2,5.56266339869281
1990-07-01,8.2,7.81768790849673
1990-08-01,5.9,5.77871732026144
1990-09-01,5.7,5.93839869281046
1990-10-01,4.6,5.12945261437909
1990-11-01,6.8,7.32602124183007
1990-12-01,7.3,7.4390114379085
1991-01-01,7,6.56290849673203
1991-02-01,8.1,7.76989379084967
1991-03-01,9.5,9.45580065359477
1991-04-01,5.7,6.09513888888889
1991-05-01,5,5.12430555555556
1991-06-01,10.4,9.76266339869281
1991-07-01,6.1,5.71768790849673
1991-08-01,5.9,5.77871732026144
1991-09-01,5.1,5.33839869281046
1991-10-01,4.6,5.12945261437909
1991-11-01,4.5,5.02602124183007
1991-12-01,5.4,5.5390114379085
1992-01-01,6.8,6.36290849673203
1992-02-01,9.6,9.26989379084967
1992-03-01,7.9,7.85580065359477
1992-04-01,6.6,6.99513888888889
1992-05-01,7.3,7.42430555555556
1992-06-01,8.2,7.56266339869281
1992-07-01,8.1,7.71768790849673
1992-08-01,11.7,11.5787173202614
1992-09-01,9.6,9.83839869281046
1992-10-01,8.3,8.82945261437909
1992-11-01,7.7,8.22602124183006
1992-12-01,8.6,8.7390114379085
1993-01-01,9.5,9.06290849673203
1993-02-01,8.2,7.86989379084967
1993-03-01,9.6,9.55580065359477
1993-04-01,6.2,6.59513888888889
1993-05-01,7.3,7.42430555555556
1993-06-01,8.3,7.66266339869281
1993-07-01,7.5,7.11768790849673
1993-08-01,7,6.87871732026144
1993-09-01,6.5,6.73839869281046
1993-10-01,6.6,7.12945261437909
1993-11-01,6.6,7.12602124183007
1993-12-01,6.5,6.6390114379085
1994-01-01,7.2,6.76290849673203
1994-02-01,7.1,6.76989379084967
1994-03-01,6.2,6.15580065359477
1994-04-01,5.4,5.79513888888889
1994-05-01,5.8,5.92430555555556
1994-06-01,6.5,5.86266339869281
1994-07-01,5.4,5.01768790849673
1994-08-01,4.6,4.47871732026144
1994-09-01,4.5,4.73839869281046
1994-10-01,3.9,4.42945261437908
1994-11-01,3.8,4.32602124183007
1994-12-01,3.9,4.0390114379085
1995-01-01,5,4.56290849673203
1995-02-01,4.6,4.26989379084967
1995-03-01,5.3,5.25580065359477
1995-04-01,3.7,4.09513888888889
1995-05-01,3.6,3.72430555555556
1995-06-01,5.3,4.66266339869281
1995-07-01,4.4,4.01768790849673
1995-08-01,4.2,4.07871732026144
1995-09-01,3.7,3.93839869281046
1995-10-01,3.7,4.22945261437909
1995-11-01,4.1,4.62602124183007
1995-12-01,6.3,6.4390114379085
1996-01-01,5.5,5.06290849673203
1996-02-01,6.9,6.56989379084967
1996-03-01,6.3,6.25580065359477
1996-04-01,5.6,5.99513888888889
1996-05-01,6,6.12430555555556
1996-06-01,6.5,5.86266339869281
1996-07-01,9,8.61768790849673
1996-08-01,5.9,5.77871732026144
1996-09-01,5,5.23839869281046
1996-10-01,5.1,5.62945261437909
1996-11-01,5.6,6.12602124183007
1996-12-01,8,8.1390114379085
1997-01-01,7.7,7.26290849673203
1997-02-01,8,7.66989379084967
1997-03-01,5.8,5.75580065359477
1997-04-01,5.4,5.79513888888889
1997-05-01,9,9.12430555555556
1997-06-01,10.1,9.46266339869281
1997-07-01,8.8,8.41768790849673
1997-08-01,8.8,8.67871732026144
1997-09-01,8.7,8.93839869281046
1997-10-01,7.8,8.32945261437908
1997-11-01,6.4,6.92602124183007
1997-12-01,8.7,8.8390114379085
1998-01-01,16.1,15.662908496732
1998-02-01,11.3,10.9698937908497
1998-03-01,10.6,10.5558006535948
1998-04-01,8.4,8.79513888888889
