"date","value","deseasonalized_value"
1948-01-01,3.4,3.44572255686565
1948-02-01,3.6,3.65581027616389
1948-03-01,3.8,3.85646817090074
1948-04-01,3.8,3.71759755686565
1948-05-01,3.5,3.43141334633933
1948-06-01,3.3,3.24632562704109
1948-07-01,3.4,3.36963959377611
1948-08-01,3.6,3.58283878493582
1948-09-01,3.7,3.71452738142705
1948-10-01,3.6,3.61458220598846
1948-11-01,3.7,3.71765238142705
1948-12-01,3.9,3.94742211826916
1949-01-01,4.2,4.24572255686565
1949-02-01,4.6,4.65581027616389
1949-03-01,5.1,5.15646817090074
1949-04-01,5.3,5.21759755686565
1949-05-01,6.1,6.03141334633933
1949-06-01,6.2,6.14632562704109
1949-07-01,6.7,6.66963959377611
1949-08-01,6.8,6.78283878493582
1949-09-01,6.5,6.51452738142705
1949-10-01,8.4,8.41458220598846
1949-11-01,6.5,6.51765238142705
1949-12-01,6.5,6.54742211826916
1950-01-01,6.4,6.44572255686565
1950-02-01,6.2,6.25581027616389
1950-03-01,6.1,6.15646817090074
1950-04-01,5.9,5.81759755686565
1950-05-01,5.4,5.33141334633933
1950-06-01,5.1,5.04632562704109
1950-07-01,4.8,4.76963959377611
1950-08-01,4.3,4.28283878493582
1950-09-01,4.2,4.21452738142705
1950-10-01,3.9,3.91458220598846
1950-11-01,3.7,3.71765238142705
1950-12-01,3.8,3.84742211826916
1951-01-01,3.3,3.34572255686565
1951-02-01,3,3.05581027616389
1951-03-01,2.7,2.75646817090074
1951-04-01,2.5,2.41759755686565
1951-05-01,2.5,2.43141334633933
1951-06-01,2.8,2.74632562704109
1951-07-01,2.7,2.66963959377611
1951-08-01,2.8,2.78283878493582
1951-09-01,2.8,2.81452738142705
1951-10-01,3.1,3.11458220598846
1951-11-01,3.1,3.11765238142705
1951-12-01,2.7,2.74742211826916
1952-01-01,2.8,2.84572255686565
1952-02-01,2.8,2.85581027616389
1952-03-01,2.7,2.75646817090074
1952-04-01,2.7,2.61759755686565
1952-05-01,2.6,2.53141334633933
1952-06-01,2.8,2.74632562704109
1952-07-01,3,2.96963959377611
1952-08-01,3.2,3.18283878493582
1952-09-01,3,3.01452738142705
1952-10-01,2.6,2.61458220598846
1952-11-01,2.5,2.51765238142705
1952-12-01,2.5,2.54742211826916
1953-01-01,2.8,2.84572255686565
1953-02-01,2.4,2.45581027616389
1953-03-01,2.3,2.35646817090074
1953-04-01,2.6,2.51759755686565
1953-05-01,2.5,2.43141334633933
1953-06-01,2.4,2.34632562704109
1953-07-01,2.5,2.46963959377611
1953-08-01,2.5,2.48283878493582
1953-09-01,2.7,2.71452738142705
1953-10-01,2.9,2.91458220598846
1953-11-01,3.4,3.41765238142705
1953-12-01,4.2,4.24742211826916
1954-01-01,4.4,4.44572255686565
1954-02-01,4.9,4.95581027616389
1954-03-01,5.3,5.35646817090074
1954-04-01,5.6,5.51759755686565
1954-05-01,5.7,5.63141334633933
1954-06-01,5.3,5.24632562704109
1954-07-01,5.6,5.56963959377611
1954-08-01,6,5.98283878493582
1954-09-01,6,6.01452738142705
1954-10-01,5.7,5.71458220598846
1954-11-01,5.2,5.21765238142705
1954-12-01,5,5.04742211826916
1955-01-01,4.8,4.84572255686565
1955-02-01,4.5,4.55581027616389
1955-03-01,4.5,4.55646817090074
1955-04-01,4.7,4.61759755686565
1955-05-01,4,3.93141334633933
1955-06-01,3.9,3.84632562704109
1955-07-01,3.8,3.76963959377611
1955-08-01,3.9,3.88283878493582
1955-09-01,3.7,3.71452738142705
1955-10-01,3.9,3.91458220598846
1955-11-01,3.9,3.91765238142705
1955-12-01,3.8,3.84742211826916
1956-01-01,3.8,3.84572255686565
1956-02-01,3.8,3.85581027616389
1956-03-01,3.8,3.85646817090074
1956-04-01,3.6,3.51759755686565
1956-05-01,3.9,3.83141334633933
1956-06-01,4,3.94632562704109
1956-07-01,3.8,3.76963959377611
1956-08-01,3.7,3.68283878493582
1956-09-01,3.6,3.61452738142705
1956-10-01,3.5,3.51458220598846
1956-11-01,4,4.01765238142705
1956-12-01,3.9,3.94742211826916
1957-01-01,3.9,3.94572255686565
1957-02-01,3.6,3.65581027616389
1957-03-01,3.5,3.55646817090074
1957-04-01,3.8,3.71759755686565
1957-05-01,3.8,3.73141334633933
1957-06-01,4,3.94632562704109
1957-07-01,3.8,3.76963959377611
1957-08-01,3.9,3.88283878493582
1957-09-01,4.3,4.31452738142705
1957-10-01,4.4,4.41458220598846
1957-11-01,5.2,5.21765238142705
1957-12-01,5.2,5.24742211826916
1958-01-01,5.7,5.74572255686565
1958-02-01,6.3,6.35581027616389
1958-03-01,6.7,6.75646817090074
1958-04-01,7.3,7.21759755686565
1958-05-01,7.5,7.43141334633933
1958-06-01,7.4,7.34632562704109
