"date","value","deseasonalized_value"
2007-01-01,4.8,4.14222721496006
2007-02-01,4.8,4.35619780319535
2007-03-01,4.1,3.96281545025418
2007-04-01,4.1,3.96281545025418
2007-05-01,4.1,4.17458015613653
2007-06-01,3.9,3.85595270515614
2007-07-01,4.1,4.00045161583152
2007-08-01,4,4.06404094045025
2007-09-01,4.2,4.58609976397967
2007-10-01,4.1,4.53144290123457
2007-11-01,4.5,4.99982525417574
2007-12-01,4.7,4.76355074437182
2008-01-01,5.5,4.84222721496006
2008-02-01,5.6,5.15619780319535
2008-03-01,6.2,6.06281545025418
2008-04-01,4.8,4.66281545025418
2008-05-01,5.3,5.37458015613653
2008-06-01,5.6,5.55595270515614
2008-07-01,5.5,5.40045161583152
2008-08-01,6,6.06404094045025
2008-09-01,5.5,5.88609976397967
2008-10-01,5.9,6.33144290123457
2008-11-01,6.5,6.99982525417574
2008-12-01,7.6,7.66355074437182
2009-01-01,9.2,8.54222721496006
2009-02-01,10.3,9.85619780319535
2009-03-01,9.6,9.46281545025418
2009-04-01,8.5,8.36281545025418
2009-05-01,9.1,9.17458015613653
2009-06-01,9.7,9.65595270515614
2009-07-01,10,9.90045161583152
2009-08-01,10.1,10.1640409404503
2009-09-01,9.6,9.98609976397967
2009-10-01,9.7,10.1314429012346
2009-11-01,9.3,9.79982525417575
2009-12-01,11,11.0635507443718
2010-01-01,11.8,11.1422272149601
2010-02-01,11.5,11.0561978031954
2010-03-01,11,10.8628154502542
2010-04-01,8.8,8.66281545025418
2010-05-01,8.6,8.67458015613653
2010-06-01,8.7,8.65595270515614
2010-07-01,9.5,9.40045161583152
2010-08-01,9,9.06404094045025
2010-09-01,9.2,9.58609976397967
2010-10-01,9.2,9.63144290123457
2010-11-01,9.7,10.1998252541757
2010-12-01,10.6,10.6635507443718
2011-01-01,10.6,9.94222721496006
2011-02-01,9.8,9.35619780319535
2011-03-01,9.6,9.46281545025418
2011-04-01,9.1,8.96281545025418
2011-05-01,8.4,8.47458015613653
2011-06-01,8.4,8.35595270515614
2011-07-01,9.2,9.10045161583152
2011-08-01,8.6,8.66404094045025
2011-09-01,9.1,9.48609976397967
2011-10-01,8.9,9.33144290123457
2011-11-01,8.4,8.89982525417575
2011-12-01,8.8,8.86355074437182
2012-01-01,9.4,8.74222721496006
2012-02-01,9.5,9.05619780319535
2012-03-01,8.7,8.56281545025418
2012-04-01,7.5,7.36281545025418
2012-05-01,7.4,7.47458015613653
2012-06-01,8.1,8.05595270515614
2012-07-01,7.8,7.70045161583152
2012-08-01,7.7,7.76404094045025
2012-09-01,7.6,7.98609976397967
2012-10-01,7.4,7.83144290123457
2012-11-01,7.7,8.19982525417574
2012-12-01,8,8.06355074437182
2013-01-01,8.5,7.84222721496006
2013-02-01,8.2,7.75619780319535
2013-03-01,7.4,7.26281545025418
2013-04-01,6.8,6.66281545025418
2013-05-01,6.3,6.37458015613653
2013-06-01,6.5,6.45595270515614
2013-07-01,6.7,6.60045161583152
2013-08-01,6.7,6.76404094045025
2013-09-01,6.5,6.88609976397967
2013-10-01,6.4,6.83144290123457
2013-11-01,6.3,6.79982525417574
2013-12-01,6.5,6.56355074437182
2014-01-01,6.7,6.04222721496006
2014-02-01,6.9,6.45619780319535
2014-03-01,6.5,6.36281545025418
2014-04-01,5.6,5.46281545025418
2014-05-01,5.6,5.67458015613653
2014-06-01,5.3,5.25595270515614
2014-07-01,5.2,5.10045161583152
2014-08-01,5.4,5.46404094045025
2014-09-01,4.6,4.98609976397967
2014-10-01,5.2,5.63144290123457
2014-11-01,5.4,5.89982525417575
2014-12-01,5.3,5.36355074437182
2015-01-01,5.8,5.14222721496006
2015-02-01,5.8,5.35619780319535
2015-03-01,5.3,5.16281545025418
2015-04-01,4.9,4.76281545025418
2015-05-01,4.7,4.77458015613653
2015-06-01,4.9,4.85595270515614
2015-07-01,5.2,5.10045161583152
2015-08-01,4.4,4.46404094045025
2015-09-01,4.6,4.98609976397967
2015-10-01,4.4,4.83144290123457
2015-11-01,4.4,4.89982525417575
2015-12-01,4.7,4.76355074437182
2016-01-01,5.1,4.44222721496006
2016-02-01,4.6,4.15619780319535
2016-03-01,4.8,4.66281545025418
2016-04-01,4.3,4.16281545025418
2016-05-01,3.7,3.77458015613653
2016-06-01,4,3.95595270515614
2016-07-01,4.2,4.10045161583152
2016-08-01,4.4,4.46404094045025
2016-09-01,4.4,4.78609976397967
2016-10-01,4,4.43144290123457
2016-11-01,4.3,4.79982525417574
2016-12-01,4.4,4.46355074437182
2017-01-01,5.2,4.54222721496006
2017-02-01,5,4.55619780319535
2017-03-01,4.5,4.36281545025418
2017-04-01,3.8,3.66281545025418
2017-05-01,3.8,3.87458015613653
2017-06-01,3.7,3.65595270515614
2017-07-01,4,3.90045161583152
2017-08-01,4.2,4.26404094045025
2017-09-01,3.9,4.28609976397967
2017-10-01,3.8,4.23144290123457
2017-11-01,3.4,3.89982525417574
2017-12-01,3.9,3.96355074437182
2018-01-01,4.7,4.04222721496006
2018-02-01,4,3.55619780319535
2018-03-01,4.1,3.96281545025418
2018-04-01,3.4,3.26281545025418
2018-05-01,3,3.07458015613653
2018-06-01,3.5,3.45595270515614
2018-07-01,3.3,3.20045161583152
2018-08-01,3.4,3.46404094045025
2018-09-01,3,3.38609976397967
2018-10-01,3.1,3.53144290123457
2018-11-01,3.2,3.69982525417574
2018-12-01,3.4,3.46355074437182
2019-01-01,4.5,3.84222721496006
2019-02-01,3.7,3.25619780319535
2019-03-01,3.9,3.76281545025418
2019-04-01,2.7,2.56281545025418
2019-05-01,2.8,2.87458015613653
2019-06-01,2.7,2.65595270515614
2019-07-01,3,2.90045161583152
2019-08-01,3.1,3.16404094045025
2019-09-01,2.6,2.98609976397967
2019-10-01,2.6,3.03144290123457
2019-11-01,2.7,3.19982525417574
2019-12-01,3.1,3.16355074437182
2020-01-01,4,3.34222721496006
2020-02-01,3.6,3.15619780319535
2020-03-01,4.8,4.66281545025418
2020-04-01,16.5,16.3628154502542
2020-05-01,15.7,15.7745801561365
2020-06-01,13.8,13.7559527051561
2020-07-01,12.4,12.3004516158315
2020-08-01,10.2,10.2640409404503
2020-09-01,8.6,8.98609976397967
2020-10-01,7.6,8.03144290123457
2020-11-01,6.7,7.19982525417575
2020-12-01,7.3,7.36355074437182
2021-01-01,8.1,7.44222721496006
2021-02-01,7.5,7.05619780319535
2021-03-01,6.8,6.66281545025418
2021-04-01,6.4,6.26281545025418
2021-05-01,5.6,5.67458015613653
2021-06-01,5.8,5.75595270515614
2021-07-01,5.4,5.30045161583152
2021-08-01,5.2,5.26404094045025
2021-09-01,4.6,4.98609976397967
2021-10-01,4.3,4.73144290123457
2021-11-01,3.6,4.09982525417574
2021-12-01,3.7,3.76355074437182
2022-01-01,4.4,3.74222721496006
2022-02-01,3.7,3.25619780319535
2022-03-01,3.4,3.26281545025418
2022-04-01,3.3,3.16281545025418
2022-05-01,3.2,3.27458015613653
2022-06-01,3.6,3.55595270515614
2022-07-01,3.2,3.10045161583152
2022-08-01,3.9,3.96404094045025
2022-09-01,2.9,3.28609976397967
2022-10-01,3.3,3.73144290123457
2022-11-01,3,3.49982525417574
2022-12-01,3.1,3.16355074437182
2023-01-01,4.2,3.54222721496006
2023-02-01,4.2,3.75619780319535
2023-03-01,3.2,3.06281545025418
2023-04-01,3.1,2.96281545025418
2023-05-01,3.2,3.27458015613653
2023-06-01,3.3,3.25595270515614
2023-07-01,3.7,3.60045161583152
2023-08-01,3.7,3.76404094045025
2023-09-01,3.6,3.98609976397967
2023-10-01,3.8,4.23144290123457
2023-11-01,3.4,3.89982525417574
2023-12-01,3.8,3.86355074437182
2024-01-01,4.5,3.84222721496006
2024-02-01,4.7,4.25619780319535
2024-03-01,3.6,3.46281545025418
2024-04-01,3.9,3.76281545025418
2024-05-01,3.4,3.47458015613653
2024-06-01,4.2,4.15595270515614
2024-07-01,4.7,4.60045161583152
2024-08-01,4.3,4.36404094045025
2024-09-01,4.2,4.58609976397967
2024-10-01,4.1,4.53144290123457
2024-11-01,4.5,4.99982525417574
2024-12-01,4.3,4.36355074437182
2025-01-01,4.6,3.94222721496006
