"date","value","deseasonalized_value"
1967-01-01,1.6,1.66262529827922
1967-02-01,1.6,1.66511067839618
1967-03-01,1.5,1.55341477196343
1967-04-01,1.6,1.46971594155408
1967-05-01,1.6,1.50012529827922
1967-06-01,1.7,1.6497598012032
1967-07-01,1.6,1.56470359027358
1967-08-01,1.5,1.5060463509108
1967-09-01,1.6,1.6170112631915
1967-10-01,1.6,1.62973056143712
1967-11-01,1.6,1.62666038599852
1967-12-01,1.6,1.65509605851314
1968-01-01,1.6,1.66262529827922
1968-02-01,1.5,1.56511067839618
1968-03-01,1.5,1.55341477196343
1968-04-01,1.3,1.16971594155408
1968-05-01,1.3,1.20012529827922
1968-06-01,1.2,1.1497598012032
1968-07-01,1.3,1.26470359027358
1968-08-01,1.4,1.4060463509108
1968-09-01,1.3,1.3170112631915
1968-10-01,1.3,1.32973056143712
1968-11-01,1.3,1.32666038599852
1968-12-01,1.2,1.25509605851314
1969-01-01,1.2,1.26262529827922
1969-02-01,1.2,1.26511067839618
1969-03-01,1.2,1.25341477196343
1969-04-01,1.3,1.16971594155408
1969-05-01,1.2,1.10012529827922
1969-06-01,1.2,1.1497598012032
1969-07-01,1.3,1.26470359027358
1969-08-01,1.2,1.2060463509108
1969-09-01,1.2,1.2170112631915
1969-10-01,1.3,1.32973056143712
1969-11-01,1.3,1.32666038599852
1969-12-01,1.4,1.45509605851314
1970-01-01,1.5,1.56262529827922
1970-02-01,1.7,1.76511067839618
1970-03-01,1.8,1.85341477196343
1970-04-01,1.9,1.76971594155408
1970-05-01,2.2,2.10012529827922
1970-06-01,2.2,2.1497598012032
1970-07-01,2.2,2.16470359027358
1970-08-01,2.3,2.3060463509108
1970-09-01,2.5,2.5170112631915
1970-10-01,2.7,2.72973056143712
1970-11-01,2.8,2.82666038599852
1970-12-01,2.9,2.95509605851314
1971-01-01,2.8,2.86262529827922
1971-02-01,2.8,2.86511067839618
1971-03-01,2.7,2.75341477196343
1971-04-01,2.8,2.66971594155408
1971-05-01,2.8,2.70012529827922
1971-06-01,2.7,2.6497598012032
1971-07-01,2.8,2.76470359027358
1971-08-01,2.9,2.9060463509108
1971-09-01,2.8,2.8170112631915
1971-10-01,2.7,2.72973056143712
1971-11-01,2.8,2.82666038599852
1971-12-01,2.7,2.75509605851314
1972-01-01,2.6,2.66262529827922
1972-02-01,2.5,2.56511067839618
1972-03-01,2.5,2.55341477196343
1972-04-01,2.4,2.26971594155408
1972-05-01,2.6,2.50012529827922
1972-06-01,2.5,2.4497598012032
1972-07-01,2.5,2.46470359027358
1972-08-01,2.5,2.5060463509108
1972-09-01,2.4,2.4170112631915
1972-10-01,2.3,2.32973056143712
1972-11-01,2.2,2.22666038599852
1972-12-01,2.1,2.15509605851314
1973-01-01,2,2.06262529827922
1973-02-01,2,2.06511067839618
1973-03-01,1.9,1.95341477196343
1973-04-01,1.9,1.76971594155408
1973-05-01,1.8,1.70012529827922
1973-06-01,1.9,1.8497598012032
1973-07-01,1.8,1.76470359027358
1973-08-01,1.9,1.9060463509108
1973-09-01,1.9,1.9170112631915
1973-10-01,1.7,1.72973056143712
1973-11-01,1.9,1.92666038599852
1973-12-01,2,2.05509605851314
1974-01-01,2.2,2.26262529827922
1974-02-01,2.2,2.26511067839618
1974-03-01,2.2,2.25341477196343
1974-04-01,2.2,2.06971594155408
1974-05-01,2.1,2.00012529827922
1974-06-01,2.2,2.1497598012032
1974-07-01,2.3,2.26470359027358
