"date","sahm","recession","category","value"
1975-01-01,2.37,1,"black",8.13333333333333
1975-01-01,2.37,1,"white",1.6
1975-01-01,2.37,1,"asian",NA
1975-01-01,2.37,1,"hispanic",4.56666666666667
1975-02-01,2.77,1,"black",8.76666666666667
1975-02-01,2.77,1,"white",2.53333333333333
1975-02-01,2.77,1,"asian",NA
1975-02-01,2.77,1,"hispanic",5.96666666666667
1975-03-01,3.27,1,"black",9.43333333333333
1975-03-01,3.27,1,"white",3.3
1975-03-01,3.27,1,"asian",NA
1975-03-01,3.27,1,"hispanic",7.26666666666667
1975-04-01,3.5,0,"black",9.83333333333333
1975-04-01,3.5,0,"white",3.16666666666667
1975-04-01,3.5,0,"asian",NA
1975-04-01,3.5,0,"hispanic",7.63333333333333
1975-05-01,3.83,0,"black",9.96666666666667
1975-05-01,3.83,0,"white",2.8
1975-05-01,3.83,0,"asian",NA
1975-05-01,3.83,0,"hispanic",7.83333333333333
1975-06-01,3.77,0,"black",9.8
1975-06-01,3.77,0,"white",2.63333333333333
1975-06-01,3.77,0,"asian",NA
1975-06-01,3.77,0,"hispanic",7.5
1975-07-01,3.5,0,"black",9.26666666666667
1975-07-01,3.5,0,"white",2.5
1975-07-01,3.5,0,"asian",NA
1975-07-01,3.5,0,"hispanic",7.13333333333333
1975-08-01,3.17,0,"black",9.13333333333333
1975-08-01,3.17,0,"white",2.23333333333333
1975-08-01,3.17,0,"asian",NA
1975-08-01,3.17,0,"hispanic",6.3
1975-09-01,2.87,0,"black",9.1
1975-09-01,2.87,0,"white",1.73333333333333
1975-09-01,2.87,0,"asian",NA
1975-09-01,2.87,0,"hispanic",5.93333333333333
1975-10-01,2.7,0,"black",9
1975-10-01,2.7,0,"white",1.1
1975-10-01,2.7,0,"asian",NA
1975-10-01,2.7,0,"hispanic",5.36666666666667
1975-11-01,2.27,0,"black",8.36666666666667
1975-11-01,2.27,0,"white",0.566666666666666
1975-11-01,2.27,0,"asian",NA
1975-11-01,2.27,0,"hispanic",5.06666666666667
1975-12-01,1.8,0,"black",7.36666666666667
1975-12-01,1.8,0,"white",-0.2
1975-12-01,1.8,0,"asian",NA
1975-12-01,1.8,0,"hispanic",4.46666666666667
1976-01-01,0.93,0,"black",6.66666666666667
1976-01-01,0.93,0,"white",-0.366666666666667
1976-01-01,0.93,0,"asian",NA
1976-01-01,0.93,0,"hispanic",4.3
1976-02-01,0.2,0,"black",6.46666666666667
1976-02-01,0.2,0,"white",-0.233333333333333
1976-02-01,0.2,0,"asian",NA
1976-02-01,0.2,0,"hispanic",4.2
1976-03-01,-0.27,0,"black",6.33333333333333
1976-03-01,-0.27,0,"white",0.0666666666666664
1976-03-01,-0.27,0,"asian",NA
1976-03-01,-0.27,0,"hispanic",4.3
1976-04-01,-0.1,0,"black",6.23333333333333
1976-04-01,-0.1,0,"white",-0.333333333333333
1976-04-01,-0.1,0,"asian",NA
1976-04-01,-0.1,0,"hispanic",4.2
1976-05-01,-0.1,0,"black",5.93333333333333
1976-05-01,-0.1,0,"white",-0.833333333333333
1976-05-01,-0.1,0,"asian",NA
1976-05-01,-0.1,0,"hispanic",3.56666666666667
1976-06-01,0,0,"black",6.2
1976-06-01,0,0,"white",-0.933333333333334
1976-06-01,0,0,"asian",NA
1976-06-01,0,0,"hispanic",3.46666666666667
1976-07-01,0.1,0,"black",6.23333333333333
1976-07-01,0.1,0,"white",-0.833333333333333
1976-07-01,0.1,0,"asian",NA
1976-07-01,0.1,0,"hispanic",3.53333333333333
1976-08-01,0.3,0,"black",6.6
1976-08-01,0.3,0,"white",-0.6
1976-08-01,0.3,0,"asian",NA
1976-08-01,0.3,0,"hispanic",4.3
1976-09-01,0.4,0,"black",6.4
1976-09-01,0.4,0,"white",-0.733333333333333
1976-09-01,0.4,0,"asian",NA
1976-09-01,0.4,0,"hispanic",4.16666666666667
1976-10-01,0.43,0,"black",6.4
1976-10-01,0.43,0,"white",-0.899999999999999
1976-10-01,0.43,0,"asian",NA
1976-10-01,0.43,0,"hispanic",3.53333333333333
1976-11-01,0.5,0,"black",6.3
1976-11-01,0.5,0,"white",-0.933333333333333
1976-11-01,0.5,0,"asian",NA
1976-11-01,0.5,0,"hispanic",3.26666666666667
1976-12-01,0.47,0,"black",6.43333333333333
1976-12-01,0.47,0,"white",-0.933333333333333
1976-12-01,0.47,0,"asian",NA
1976-12-01,0.47,0,"hispanic",3.5
1977-01-01,0.27,0,"black",6.4
1977-01-01,0.27,0,"white",-0.566666666666666
1977-01-01,0.27,0,"asian",NA
1977-01-01,0.27,0,"hispanic",4.1
1977-02-01,0.1,0,"black",6.46666666666667
1977-02-01,0.1,0,"white",-0.2
1977-02-01,0.1,0,"asian",NA
1977-02-01,0.1,0,"hispanic",4.5
1977-03-01,-0.07,0,"black",6.46666666666667
1977-03-01,-0.07,0,"white",0.0333333333333332
1977-03-01,-0.07,0,"asian",NA
1977-03-01,-0.07,0,"hispanic",4.53333333333333
1977-04-01,-0.1,0,"black",6.23333333333333
1977-04-01,-0.1,0,"white",-0.333333333333334
1977-04-01,-0.1,0,"asian",NA
1977-04-01,-0.1,0,"hispanic",3.86666666666667
1977-05-01,-0.2,0,"black",6.2
1977-05-01,-0.2,0,"white",-0.833333333333333
1977-05-01,-0.2,0,"asian",NA
1977-05-01,-0.2,0,"hispanic",3
1977-06-01,-0.07,0,"black",6.26666666666667
1977-06-01,-0.07,0,"white",-0.966666666666667
1977-06-01,-0.07,0,"asian",NA
1977-06-01,-0.07,0,"hispanic",2.63333333333333
1977-07-01,-0.03,0,"black",6.73333333333333
1977-07-01,-0.03,0,"white",-0.933333333333334
1977-07-01,-0.03,0,"asian",NA
1977-07-01,-0.03,0,"hispanic",2.8
1977-08-01,0.07,0,"black",7.26666666666667
1977-08-01,0.07,0,"white",-0.866666666666666
1977-08-01,0.07,0,"asian",NA
1977-08-01,0.07,0,"hispanic",2.83333333333333
1977-09-01,0,0,"black",7.6
1977-09-01,0,0,"white",-1
1977-09-01,0,0,"asian",NA
1977-09-01,0,0,"hispanic",2.6
1977-10-01,0.03,0,"black",7.83333333333333
1977-10-01,0.03,0,"white",-1.13333333333333
1977-10-01,0.03,0,"asian",NA
1977-10-01,0.03,0,"hispanic",2.06666666666667
1977-11-01,-0.03,0,"black",7.76666666666667
1977-11-01,-0.03,0,"white",-1.16666666666667
1977-11-01,-0.03,0,"asian",NA
1977-11-01,-0.03,0,"hispanic",2
1977-12-01,-0.13,0,"black",7.6
1977-12-01,-0.13,0,"white",-1.23333333333333
1977-12-01,-0.13,0,"asian",NA
1977-12-01,-0.13,0,"hispanic",2.06666666666667
1978-01-01,-0.17,0,"black",7.53333333333333
1978-01-01,-0.17,0,"white",-0.866666666666666
1978-01-01,-0.17,0,"asian",NA
1978-01-01,-0.17,0,"hispanic",2.76666666666667
1978-02-01,-0.2,0,"black",7.16666666666667
1978-02-01,-0.2,0,"white",-0.533333333333334
1978-02-01,-0.2,0,"asian",NA
1978-02-01,-0.2,0,"hispanic",3.53333333333333
1978-03-01,-0.07,0,"black",7.03333333333333
1978-03-01,-0.07,0,"white",-0.3
1978-03-01,-0.07,0,"asian",NA
1978-03-01,-0.07,0,"hispanic",3.8
1978-04-01,-0.1,0,"black",6.8
1978-04-01,-0.1,0,"white",-0.600000000000001
1978-04-01,-0.1,0,"asian",NA
1978-04-01,-0.1,0,"hispanic",3.4
1978-05-01,0,0,"black",6.86666666666667
1978-05-01,0,0,"white",-0.966666666666666
1978-05-01,0,0,"asian",NA
1978-05-01,0,0,"hispanic",2.93333333333333
1978-06-01,-0.17,0,"black",6.9
1978-06-01,-0.17,0,"white",-1
1978-06-01,-0.17,0,"asian",NA
1978-06-01,-0.17,0,"hispanic",2.93333333333333
1978-07-01,0.07,0,"black",6.93333333333333
1978-07-01,0.07,0,"white",-0.9
1978-07-01,0.07,0,"asian",NA
1978-07-01,0.07,0,"hispanic",3.43333333333333
1978-08-01,0,0,"black",6.7
1978-08-01,0,0,"white",-0.8
1978-08-01,0,0,"asian",NA
1978-08-01,0,0,"hispanic",3.43333333333333
1978-09-01,0.1,0,"black",6.4
1978-09-01,0.1,0,"white",-0.866666666666667
1978-09-01,0.1,0,"asian",NA
1978-09-01,0.1,0,"hispanic",3.16666666666667
1978-10-01,-0.03,0,"black",6.1
1978-10-01,-0.03,0,"white",-0.966666666666667
1978-10-01,-0.03,0,"asian",NA
1978-10-01,-0.03,0,"hispanic",2.43333333333333
1978-11-01,-0.03,0,"black",6.23333333333333
1978-11-01,-0.03,0,"white",-1.03333333333333
