date,sahm,recession,category,value
1992-01-01,0.93,0,No Highschool,NA
1992-01-01,0.93,0,Some College,NA
1992-01-01,0.93,0,Bachelors,NA
1992-01-01,0.93,0,Masters,NA
1992-01-01,0.93,0,Advanced Degree,NA
1992-02-01,0.9,0,No Highschool,NA
1992-02-01,0.9,0,Some College,NA
1992-02-01,0.9,0,Bachelors,NA
1992-02-01,0.9,0,Masters,NA
1992-02-01,0.9,0,Advanced Degree,NA
1992-03-01,0.77,0,No Highschool,NA
1992-03-01,0.77,0,Some College,NA
1992-03-01,0.77,0,Bachelors,NA
1992-03-01,0.77,0,Masters,NA
1992-03-01,0.77,0,Advanced Degree,NA
1992-04-01,0.67,0,No Highschool,NA
1992-04-01,0.67,0,Some College,NA
1992-04-01,0.67,0,Bachelors,NA
1992-04-01,0.67,0,Masters,NA
1992-04-01,0.67,0,Advanced Degree,NA
1992-05-01,0.63,0,No Highschool,NA
1992-05-01,0.63,0,Some College,NA
1992-05-01,0.63,0,Bachelors,NA
1992-05-01,0.63,0,Masters,NA
1992-05-01,0.63,0,Advanced Degree,NA
1992-06-01,0.73,0,No Highschool,NA
1992-06-01,0.73,0,Some College,NA
1992-06-01,0.73,0,Bachelors,NA
1992-06-01,0.73,0,Masters,NA
1992-06-01,0.73,0,Advanced Degree,NA
1992-07-01,0.87,0,No Highschool,NA
1992-07-01,0.87,0,Some College,NA
1992-07-01,0.87,0,Bachelors,NA
1992-07-01,0.87,0,Masters,NA
1992-07-01,0.87,0,Advanced Degree,NA
1992-08-01,0.9,0,No Highschool,NA
1992-08-01,0.9,0,Some College,NA
1992-08-01,0.9,0,Bachelors,NA
1992-08-01,0.9,0,Masters,NA
1992-08-01,0.9,0,Advanced Degree,NA
1992-09-01,0.8,0,No Highschool,NA
1992-09-01,0.8,0,Some College,NA
1992-09-01,0.8,0,Bachelors,NA
1992-09-01,0.8,0,Masters,NA
1992-09-01,0.8,0,Advanced Degree,NA
1992-10-01,0.67,0,No Highschool,NA
1992-10-01,0.67,0,Some College,NA
1992-10-01,0.67,0,Bachelors,NA
1992-10-01,0.67,0,Masters,NA
1992-10-01,0.67,0,Advanced Degree,NA
1992-11-01,0.5,0,No Highschool,NA
1992-11-01,0.5,0,Some College,NA
1992-11-01,0.5,0,Bachelors,NA
1992-11-01,0.5,0,Masters,NA
1992-11-01,0.5,0,Advanced Degree,NA
1992-12-01,0.37,0,No Highschool,NA
1992-12-01,0.37,0,Some College,NA
1992-12-01,0.37,0,Bachelors,NA
1992-12-01,0.37,0,Masters,NA
1992-12-01,0.37,0,Advanced Degree,NA
1993-01-01,0.2,0,No Highschool,NA
1993-01-01,0.2,0,Some College,NA
1993-01-01,0.2,0,Bachelors,NA
1993-01-01,0.2,0,Masters,NA
1993-01-01,0.2,0,Advanced Degree,NA
1993-02-01,-0.03,0,No Highschool,0.166666667
1993-02-01,-0.03,0,Some College,NA
1993-02-01,-0.03,0,Bachelors,0.133333333
1993-02-01,-0.03,0,Masters,NA
1993-02-01,-0.03,0,Advanced Degree,NA
1993-03-01,-0.1,0,No Highschool,0.033333333
1993-03-01,-0.1,0,Some College,NA
1993-03-01,-0.1,0,Bachelors,0.066666667
1993-03-01,-0.1,0,Masters,NA
1993-03-01,-0.1,0,Advanced Degree,NA
1993-04-01,-0.03,0,No Highschool,0
1993-04-01,-0.03,0,Some College,NA
1993-04-01,-0.03,0,Bachelors,0.1
1993-04-01,-0.03,0,Masters,NA
1993-04-01,-0.03,0,Advanced Degree,NA
1993-05-01,-0.03,0,No Highschool,0
1993-05-01,-0.03,0,Some College,NA
1993-05-01,-0.03,0,Bachelors,0.033333333
1993-05-01,-0.03,0,Masters,NA
1993-05-01,-0.03,0,Advanced Degree,NA
1993-06-01,0,0,No Highschool,0.1
1993-06-01,0,0,Some College,NA
1993-06-01,0,0,Bachelors,0
1993-06-01,0,0,Masters,NA
1993-06-01,0,0,Advanced Degree,NA
1993-07-01,-0.07,0,No Highschool,0
1993-07-01,-0.07,0,Some College,NA
1993-07-01,-0.07,0,Bachelors,0
1993-07-01,-0.07,0,Masters,NA
1993-07-01,-0.07,0,Advanced Degree,NA
1993-08-01,-0.07,0,No Highschool,0
1993-08-01,-0.07,0,Some College,NA
1993-08-01,-0.07,0,Bachelors,0
1993-08-01,-0.07,0,Masters,NA
1993-08-01,-0.07,0,Advanced Degree,NA
1993-09-01,-0.1,0,No Highschool,0
1993-09-01,-0.1,0,Some College,NA
1993-09-01,-0.1,0,Bachelors,0
1993-09-01,-0.1,0,Masters,NA
1993-09-01,-0.1,0,Advanced Degree,NA
1993-10-01,0,0,No Highschool,0.1
1993-10-01,0,0,Some College,NA
1993-10-01,0,0,Bachelors,0.033333333
1993-10-01,0,0,Masters,NA
1993-10-01,0,0,Advanced Degree,NA
1993-11-01,-0.1,0,No Highschool,0.1
1993-11-01,-0.1,0,Some College,NA
1993-11-01,-0.1,0,Bachelors,0.133333333
1993-11-01,-0.1,0,Masters,NA
1993-11-01,-0.1,0,Advanced Degree,NA
1993-12-01,-0.1,0,No Highschool,0.2
1993-12-01,-0.1,0,Some College,NA
1993-12-01,-0.1,0,Bachelors,0.133333333
1993-12-01,-0.1,0,Masters,NA
1993-12-01,-0.1,0,Advanced Degree,NA
1994-01-01,0,0,No Highschool,0.2
1994-01-01,0,0,Some College,NA
1994-01-01,0,0,Bachelors,0.133333333
1994-01-01,0,0,Masters,NA
1994-01-01,0,0,Advanced Degree,NA
1994-02-01,0,0,No Highschool,0.166666667
1994-02-01,0,0,Some College,NA
1994-02-01,0,0,Bachelors,0.1
1994-02-01,0,0,Masters,NA
1994-02-01,0,0,Advanced Degree,NA
1994-03-01,0.03,0,No Highschool,0
1994-03-01,0.03,0,Some College,NA
1994-03-01,0.03,0,Bachelors,0.1
1994-03-01,0.03,0,Masters,NA
1994-03-01,0.03,0,Advanced Degree,NA
1994-04-01,-0.07,0,No Highschool,0
1994-04-01,-0.07,0,Some College,NA
1994-04-01,-0.07,0,Bachelors,0
1994-04-01,-0.07,0,Masters,NA
1994-04-01,-0.07,0,Advanced Degree,NA
1994-05-01,-0.17,0,No Highschool,0
1994-05-01,-0.17,0,Some College,NA
1994-05-01,-0.17,0,Bachelors,0
1994-05-01,-0.17,0,Masters,NA
1994-05-01,-0.17,0,Advanced Degree,NA
1994-06-01,-0.17,0,No Highschool,0
